Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2026,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11653,0,5953,306,0,257,5444,0,178,74,0,19,502,352,2827,0,29,479
MSitAE-JULY-2026,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11858,1254,0,0,0,0,3918,8,0,0,0,0,433,18,3781,10,0,1816
MSitAE-JULY-2026,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9475,1316,7481,321,1,1008,4836,3,424,168,0,26,900,2,3187,0,0,3590
MSitAE-JULY-2026,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,16097,0,10876,39,0,511,7527,0,654,16,0,0,1635,889,3611,0,0,282
MSitAE-JULY-2026,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,12125,0,6257,0,0,0,4614,0,688,0,0,0,724,217,3902,0,0,266
MSitAE-JULY-2026,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,11853,1717,6886,170,0,662,4188,6,68,36,0,2,618,811,6576,0,1005,892
MSitAE-JULY-2026,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7469,0,1779,0,0,0,794,0,0,0,0,0,289,100,1222,0,0,0
MSitAE-JULY-2026,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,8576,0,3793,15,0,0,3305,0,138,4,0,0,419,445,2417,0,103,651
MSitAE-JULY-2026,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,5257,333,2193,0,0,0,2597,0,0,0,0,0,410,136,1255,0,0,992
MSitAE-JULY-2026,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,10123,0,6171,346,0,985,3502,0,673,75,0,0,305,804,1773,0,0,577
